id,created_at,baguette,tomato,basil,olive_oil,garlic,cheese,flour,tomato_sauce,cream,butter,beef,onion,pine_nut,rice,shrimp,milk,sugar,egg,vanilla,gelatin,coffee_bean,romain_lettuce,crouton,caesar_dressing,carrot,celery,rosemary
1,2024-06-09 06:58:17.976156+00,50,75,2,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2024-06-09 06:58:17.976156+00,0,150,4,15,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2024-06-09 06:58:17.976156+00,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,20,30,0,0,0
4,2024-06-09 06:58:17.976156+00,0,0,4,0,0,100,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-06-09 06:58:17.976156+00,0,0,0,0,0,50,100,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2024-06-09 06:58:17.976156+00,0,0,0,0,2,0,100,100,0,0,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2024-06-09 06:58:17.976156+00,0,0,30,30,0,30,100,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2024-06-09 06:58:17.976156+00,0,0,0,0,0,30,0,0,50,0,0,50,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0
9,2024-06-09 06:58:17.976156+00,0,0,0,30,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10,2024-06-09 06:58:17.976156+00,0,75,0,0,0,0,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0
11,2024-06-09 06:58:17.976156+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,1,5,0,0,0,0,0,0,0,0
12,2024-06-09 06:58:17.976156+00,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,30,0,5,2,0,0,0,0,0,0,0
13,2024-06-09 06:58:17.976156+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0